id,name_en,name_sanskrit,food_group,calories_per_100g,protein_g,carbs_g,fat_g,fiber_g,vitamins,minerals,rasa,virya,vipaka,guna,dosha_effect,seasonal_suitability,digestion_level,region_common,contraindications,suggested_combinations,therapeutic_uses,recommended_portion
73,Sugar,Chini,Sweetener,403.4085379866155,0.0,96.41822842958096,0.1705423887832691,0.04324795557731731,"B6,A,K","Manganese,Iron,Calcium,Zinc","Tikta,Kashaya",Shita,Katu,"Guru,Manda","Balances Pitta,Aggravates Kapha","Monsoon,Summer",Laghu,"North India,South India","Diabetes,Obesity,Kapha imbalance",Black pepper + Turmeric,"Digestive aid,Cooling agent",1 tsp
74,Rock Salt,Saindhav Namak,Spice,334.4020603305003,13.034004990094793,51.96370949898244,8.625577705393553,25.676287088886458,"B1,B6,K","Zinc,Iron,Sodium,Manganese,Phosphorus",Tikta,Ushna,Madhura,Snigdha,"Aggravates Kapha,Reduces Pitta,Reduces Kapha","Spring,Winter",Guru,Pan-India,"Pitta imbalance,Ulcer,Infection,Acidity,Autoimmune condition","Ginger + Honey,Cloves + Tea","Constipation,Immunity enhancer",pinch
75,Black Salt,Kala Namak,Spice,250.4705302205553,12.3560364704065,62.2194476344079,7.551331942423285,24.50920434805555,,,"Madhura,Amla,Katu",Shita,Madhura,Snigdha,Reduces Pitta,"Monsoon,All",Laghu,"Coastal,West India","Kidney disease,Ulcer,Acidity,Pitta imbalance","Coriander + Coconut,Cloves + Tea,Cardamom + Tea","Skin health,Joint health,Immunity enhancer",pinch
76,Sea Salt,Samudra Namak,Spice,251.93701242892007,13.458930109211067,53.19935350775355,5.307422996192313,26.950245518850153,,"Phosphorus,Magnesium,Copper,Iron","Madhura,Amla",Ushna,Katu,"Snigdha,Guru",Aggravates Pitta,Summer,Laghu,Pan-India,"Ulcer,Acidity,Pitta imbalance","Cardamom + Tea,Coriander + Coconut,Turmeric + Milk",Immunity enhancer,pinch
77,Mustard Oil,Sarson Ka Tel,Oil,938.017528477589,0.0,0.0,100.20391229646077,1.135011599527358,"K,B6,A",Calcium,Madhura,Shita,Amla,"Ruksha,Teekshna",Balances Kapha,Spring,Guru,South India,"High cholesterol,Kapha imbalance,Obesity","Coriander + Coconut,Cumin + Rice","Stress relief,Joint health,Energy booster",5ml
78,Coconut Oil,Nariyal Ka Tel,Oil,868.3268760765485,1.483174550624088,0.0,101.00019026970948,1.9852663455204258,"C,A,B1",,Tikta,Shita,Madhura,Laghu,Reduces Pitta,Summer,Guru,"East India,Pan-India","High cholesterol,Acidity,Kapha imbalance,Obesity","Milk + Ghee,Ginger + Honey","Anemia,Constipation",1 tbsp
79,Ginger Oil,Adrak Ka Tel,Oil,857.3538648493142,0.0,0.0,100.45201064349338,1.5632188053009939,"E,B1,B2","Magnesium,Selenium,Sodium,Zinc","Amla,Tikta",Ushna,Amla,"Guru,Manda","Balances Pitta,Balances Kapha,Aggravates Kapha",Summer,Laghu,North India,"Underweight,Fever,Kapha imbalance,Hypertension,High cholesterol,Obesity","Cardamom + Tea,Milk + Ghee,Ginger + Honey","Stress relief,Respiratory health",5ml
80,Sesame Oil,Til Ka Tel,Oil,894.1582016936477,1.7617982572286754,0.7845122259241499,100.50996857649623,0.520717789060162,B6,"Manganese,Copper,Magnesium","Lavana,Madhura,Kashaya",Ushna,Madhura,"Teekshna,Laghu","Reduces Kapha,Reduces Vata",Winter,Guru,"East India,Coastal","High cholesterol,Kapha imbalance,Obesity",Ginger + Honey,"Weight management,Constipation,Digestive aid",5ml
81,Olive Oil,Zaitoon Ka Tel,Oil,921.430032603696,0.0,0.0,100.32581556819453,1.2441161431677683,"A,B3,D","Magnesium,Phosphorus,Selenium,Potassium","Kashaya,Tikta,Amla",Ushna,Katu,"Teekshna,Laghu",Reduces Vata,"Summer,Monsoon",Laghu,"South India,West India","High cholesterol,Kapha imbalance,Obesity",Cloves + Tea,"Cooling agent,Joint health",1 tsp
82,Sunflower Oil,Surajmukhi Ka Tel,Oil,874.4962331472422,0.9968879602692864,9.510614076138538,99.25430654064057,0.42014698898789793,"B12,K",,Amla,Ushna,Katu,"Laghu,Snigdha","Aggravates Pitta,Reduces Pitta","Spring,Monsoon",Laghu,South India,"High cholesterol,Kapha imbalance,Obesity","Fennel + Mint,Milk + Ghee,Turmeric + Milk","Joint health,Stress relief",1 tsp
83,Safflower Oil,Kusumbh Ka Tel,Oil,869.5731632686832,0.10652129560407131,0.0,100.45797933450824,1.0866032727849695,"E,B2,B1,B12","Calcium,Selenium,Phosphorus,Potassium","Katu,Amla,Kashaya",Shita,Amla,Laghu,"Balances Kapha,Aggravates Vata,Balances Vata","Winter,Autumn",Guru,Pan-India,"High cholesterol,Ulcer,Kapha imbalance,Obesity","Fennel + Mint,Ginger + Honey","Anemia,Joint health",1 tbsp
84,Groundnut Oil,Mungaphali Ka Tel,Oil,929.8295311864606,0.4863070394002762,4.135816256152438,103.01971302198424,0.0,A,"Manganese,Selenium,Copper","Katu,Tikta,Lavana",Shita,Madhura,"Ruksha,Guru","Reduces Pitta,Balances Kapha,Balances Vata","Monsoon,Autumn",Guru,"South India,Coastal","High cholesterol,Thyroid disorder,Kapha imbalance,Obesity","Coriander + Coconut,Turmeric + Milk","Respiratory health,Skin health",1 tbsp
85,Roasted Nuts,Roasted Bija,Nut,615.035521273886,20.37092085075164,27.72598659479135,52.54795188148202,11.832652567485216,"B6,C,A,B12","Selenium,Zinc,Copper,Magnesium,Iron","Madhura,Lavana",Shita,Katu,Teekshna,"Balances Kapha,Aggravates Vata",Winter,Laghu,"Pan-India,Himalayan","Acidity,Thyroid disorder",Cardamom + Tea,"Immunity enhancer,Cooling agent,Anemia",30g
86,Green Beans,Green Chanaka,Legume,102.41825880156031,8.18695787981273,24.247985403580007,1.17674268378439,8.970858613216805,"B2,B1",,"Kashaya,Amla",Ushna,Amla,Manda,Balances Kapha,"Spring,Monsoon",Guru,"North India,Himalayan","Bloating,Gas,Vata imbalance","Black pepper + Turmeric,Cardamom + Tea,Cinnamon + Milk",Stress relief,50g
87,Seawater Salmon,Jala,Fish,186.32412156934643,21.581467845361235,9.711581407311808,15.998085858727897,0.3374554171105414,"D,K",,"Kashaya,Katu",Shita,Madhura,"Teekshna,Guru","Balances Kapha,Aggravates Kapha","All,Autumn",Laghu,West India,"Underweight,Fever,Obesity","Cinnamon + Milk,Milk + Ghee,Black pepper + Turmeric","Anemia,Weight management,Liver support",1 piece
88,Grass-fed Beef,Grass-fed Mamsa,Meat,293.5070211871964,24.663918211091026,0.0,16.440261397633332,0.022950623700493833,,"Zinc,Magnesium,Selenium,Iron,Potassium","Tikta,Katu,Kashaya",Shita,Amla,Guru,"Reduces Kapha,Reduces Pitta,Aggravates Vata",Autumn,Guru,West India,"High cholesterol,Heart disease","Turmeric + Milk,Cloves + Tea,Cinnamon + Milk",Weight management,1 piece
89,White Barley,Yava,Grain,345.5602505634054,9.067144639936027,69.73448540302248,3.5612402230596607,3.206572148369829,,Sodium,"Lavana,Kashaya",Shita,Amla,"Ruksha,Manda",Balances Pitta,All,Guru,Coastal,,"Coriander + Coconut,Black pepper + Turmeric,Cumin + Rice","Liver support,Energy booster",1 cup cooked
90,Bitter Melon,Bitter Falasava,Fruit,37.24693305633967,1.8537316562781778,10.236262564837693,1.405917987105336,1.678333977861164,B3,"Zinc,Phosphorus,Iron",Kashaya,Ushna,Madhura,"Ruksha,Teekshna","Reduces Kapha,Aggravates Pitta",Spring,Guru,"East India,West India","Liver disease,Allergy,Underweight","Cumin + Rice,Black pepper + Turmeric","Weight management,Respiratory health,Liver support",100g
91,Whole Beans,Whole Masura,Legume,87.92024936774727,10.781540862077625,29.796576492105007,1.5729822868229149,6.6587203883761354,B12,"Phosphorus,Zinc,Potassium,Sodium,Selenium",Kashaya,Ushna,Madhura,"Guru,Ruksha","Aggravates Vata,Reduces Vata",All,Laghu,South India,"Bloating,Gas,Vata imbalance","Black pepper + Turmeric,Cardamom + Tea,Fennel + Mint","Stress relief,Digestive aid,Energy booster",50g
92,Raw Syrup,Raw Sharkara,Sweetener,376.1195509628696,0.10347040863369283,90.88627207134112,2.2510188863174583,1.786141602516401,,,"Tikta,Kashaya,Lavana",Ushna,Madhura,"Snigdha,Guru","Balances Pitta,Aggravates Pitta",Summer,Laghu,West India,"Diabetes,Obesity,Kapha imbalance","Turmeric + Milk,Fennel + Mint",Energy booster,1 tsp
93,Bitter Melon,Bitter Falasava,Fruit,75.8676832123205,0.7304846090048049,23.260820106842324,4.259465775588729,2.679627985893937,"B2,C,B1,D","Potassium,Selenium,Magnesium,Zinc",Madhura,Shita,Amla,"Guru,Ruksha","Reduces Pitta,Aggravates Pitta","Winter,Summer",Laghu,Pan-India,"Autoimmune condition,Underweight,Hypertension",Cinnamon + Milk,"Anemia,Respiratory health,Liver support",1 cup sliced
94,Golden Millet,Golden Dhanya,Grain,358.94099706254843,8.783460252300271,76.86298601321377,6.0719028451351305,3.34850035020035,"A,D,B3,C","Phosphorus,Zinc,Copper,Sodium,Calcium",Kashaya,Ushna,Amla,"Laghu,Manda",Aggravates Vata,"Monsoon,Spring",Guru,"North India,South India",,Turmeric + Milk,"Liver support,Constipation",1 cup cooked
95,Freshwater Tuna,Jala,Fish,152.94772718052909,23.445034427321932,0.0,13.901547914482286,0.07791918857664415,B1,"Calcium,Zinc",Amla,Shita,Amla,Guru,"Balances Vata,Balances Kapha,Aggravates Pitta",Winter,Guru,East India,,"Cinnamon + Milk,Cloves + Tea,Fennel + Mint","Skin health,Energy booster,Cooling agent",1 piece
96,Raw Sugar,Sharkara,Sweetener,425.9636283746039,1.4474704850784925,98.87725978028453,4.543677749760965,1.7064033578899318,"K,C","Calcium,Zinc,Potassium",Katu,Ushna,Madhura,Guru,Aggravates Pitta,Monsoon,Laghu,East India,"Diabetes,Obesity,Kapha imbalance","Cardamom + Tea,Cloves + Tea","Respiratory health,Digestive aid",1 cube
97,Split Peas,Split Chanaka,Legume,81.71438456743562,8.024593771072002,29.927394509263344,5.681555804194291,7.367548262821258,"B6,B3,A","Magnesium,Selenium",Lavana,Shita,Madhura,"Guru,Ruksha","Reduces Pitta,Reduces Vata",Winter,Guru,"South India,Coastal","Bloating,Gas,Vata imbalance","Cloves + Tea,Black pepper + Turmeric,Turmeric + Milk",Anemia,50g
98,Sour Citrus,Sour Falasava,Fruit,40.920566066510986,0.8382112017882195,21.80574763408004,4.814604275060702,2.721052206978671,"B12,B1","Magnesium,Sodium,Selenium,Iron","Katu,Tikta,Amla",Ushna,Madhura,"Manda,Teekshna",Reduces Pitta,Autumn,Guru,"Pan-India,West India",,Ginger + Honey,Immunity enhancer,1 medium
99,Crystallized Syrup,Crystallized Sharkara,Sweetener,395.8049326379921,1.4815710486675826,92.05937987172011,4.90277762712618,0.4205371099928755,K,"Iron,Manganese","Amla,Tikta",Shita,Katu,"Teekshna,Laghu","Reduces Kapha,Balances Vata,Balances Kapha",Summer,Laghu,East India,"Diabetes,Obesity,Kapha imbalance","Black pepper + Turmeric,Cardamom + Tea","Digestive aid,Respiratory health",5g
100,Whole Extract,Whole Kalka,Spice,299.35645713252734,12.907584447321597,61.64452675433078,9.992826230727715,25.73061268969132,"A,C","Selenium,Phosphorus","Madhura,Kashaya,Katu",Shita,Katu,"Guru,Ruksha","Aggravates Pitta,Balances Kapha,Balances Pitta",Summer,Guru,"Pan-India,East India","Underweight,Pitta imbalance,Ulcer,Allergy,Kidney disease,Acidity","Milk + Ghee,Cinnamon + Milk,Cloves + Tea",Anemia,1g
101,Wild Blend,Wild Kalka,Spice,293.52561784997516,12.084027822827794,54.732958632395906,9.804001809053581,26.464379181351813,"B3,A,E,K","Selenium,Manganese,Zinc","Amla,Lavana,Kashaya",Ushna,Madhura,Ruksha,"Aggravates Pitta,Reduces Kapha",All,Laghu,West India,"Ulcer,Acidity,Pitta imbalance","Cardamom + Tea,Cloves + Tea,Milk + Ghee","Joint health,Cooling agent",pinch
102,Wild Powder,Wild Churna,Spice,259.27404018472004,12.01993597652658,56.48147974232479,5.9597449068369395,25.986343722211764,,Magnesium,"Katu,Madhura",Ushna,Katu,"Guru,Teekshna","Balances Pitta,Reduces Kapha",Winter,Laghu,"West India,Pan-India","Ulcer,Liver disease,Acidity,Pitta imbalance","Cinnamon + Milk,Coriander + Coconut,Turmeric + Milk",Constipation,1g
103,Crystallized Honey,Madhu,Sweetener,440.1079507369157,1.7462347531716524,104.80782453361508,0.0,1.784318661023895,,"Calcium,Manganese,Potassium,Magnesium,Copper","Lavana,Tikta",Ushna,Madhura,"Manda,Guru","Reduces Pitta,Aggravates Pitta",Summer,Laghu,Coastal,"Diabetes,Obesity,Kapha imbalance",Turmeric + Milk,"Constipation,Weight management,Liver support",5g
104,Whole Extract,Whole Kalka,Spice,329.59812853584,13.54001355134888,61.003229638869996,5.798763425902383,26.912480185824727,"B3,B12","Magnesium,Calcium,Copper","Kashaya,Lavana,Madhura",Ushna,Madhura,"Teekshna,Guru",Reduces Kapha,"Summer,All",Laghu,West India,"Ulcer,Acidity,Pitta imbalance",Black pepper + Turmeric,"Constipation,Joint health",1 tsp
105,Himalayan Powder,Himalayan Phala,Spice,297.1660691983896,11.900650812098618,63.9298805427226,7.805161971943484,26.766106513141604,,"Sodium,Phosphorus,Iron,Magnesium,Zinc",Madhura,Ushna,Madhura,Snigdha,Balances Pitta,All,Laghu,"South India,East India","Ulcer,Acidity,Pitta imbalance","Coriander + Coconut,Ginger + Honey","Constipation,Respiratory health",pinch
106,Free-range Chicken,Free-range Charma,Meat,212.18394163202538,25.182432203480552,0.0,16.28673305998833,1.8076051411637986,,"Potassium,Calcium,Sodium",Katu,Ushna,Amla,"Ruksha,Manda",Aggravates Pitta,"Spring,All",Guru,South India,"High cholesterol,Heart disease",Coriander + Coconut,"Cooling agent,Respiratory health,Weight management",1 piece
107,Natural Syrup,Natural Guda,Sweetener,443.7595396106314,1.5985611858901372,104.09771895713945,1.744767868957715,1.9018334061495468,,"Copper,Potassium,Sodium","Lavana,Amla",Shita,Katu,Ruksha,"Aggravates Pitta,Balances Vata,Balances Pitta","Monsoon,All",Guru,North India,"Hypertension,Diabetes,Obesity,Kapha imbalance","Turmeric + Milk,Cinnamon + Milk","Constipation,Anemia",1 cube
108,Rich Cheese,Rich Ksheera,Dairy,42.38613262661612,4.539713851022595,5.379945884483462,5.7565836358388,0.0,C,"Selenium,Manganese","Katu,Tikta",Ushna,Madhura,"Ruksha,Snigdha","Reduces Vata,Balances Kapha,Reduces Kapha",Spring,Laghu,Himalayan,"Pregnancy,Lactose intolerance,Kapha imbalance,Obesity","Ginger + Honey,Cinnamon + Milk","Anemia,Digestive aid",2 tbsp
109,Ground Blend,Ground Kalka,Spice,343.41758884805836,13.050850569300056,53.733392821396805,9.160736829340244,26.962218934244834,"B2,K","Calcium,Copper","Amla,Tikta",Shita,Amla,Manda,"Aggravates Kapha,Reduces Pitta",Autumn,Laghu,"East India,West India","Ulcer,Acidity,Pitta imbalance","Fennel + Mint,Cinnamon + Milk,Cardamom + Tea",Cooling agent,1g
110,Black Beans,Black Chanaka,Legume,114.68431741451005,8.40454484978643,27.104382427083177,5.853675199514008,7.271333429567067,"B12,K,C","Manganese,Selenium,Sodium,Magnesium",Lavana,Shita,Madhura,"Laghu,Snigdha","Aggravates Pitta,Aggravates Vata,Balances Pitta",Summer,Laghu,"North India,East India","Bloating,Gas,Vata imbalance","Ginger + Honey,Cardamom + Tea,Fennel + Mint","Cooling agent,Immunity enhancer",50g
111,Tropical Apple,Tropical Phala,Fruit,84.17013873699311,1.2153200938220319,5.845843719507673,0.930265718003543,1.5431484538677869,"B12,K,B6,C","Zinc,Sodium,Iron","Lavana,Madhura",Ushna,Madhura,"Snigdha,Manda","Reduces Vata,Balances Pitta","Autumn,Winter",Laghu,South India,,Fennel + Mint,Stress relief,1 medium
112,Organic Milk,Ksheera,Dairy,92.11637933836778,3.0315097922052576,11.868844920637617,6.476636032868853,1.0734893609109235,B1,"Magnesium,Iron","Kashaya,Amla,Tikta",Ushna,Amla,Teekshna,"Aggravates Vata,Reduces Kapha,Balances Pitta","Autumn,Spring",Laghu,North India,"Lactose intolerance,Kapha imbalance","Cardamom + Tea,Cinnamon + Milk,Black pepper + Turmeric",Cooling agent,1 cup
113,Whole Extract,Whole Kalka,Spice,329.56908787335317,13.79243317454795,64.89430626976379,5.630902082496954,26.721492773075237,K,Zinc,Madhura,Shita,Madhura,Guru,"Balances Pitta,Reduces Pitta,Aggravates Kapha",Spring,Laghu,"Coastal,West India","Ulcer,Acidity,Pitta imbalance",Black pepper + Turmeric,"Energy booster,Weight management,Digestive aid",1 tsp
114,Whole Lentils,Whole Chanaka,Legume,124.252238509441,8.893037609335991,20.038550065048646,5.600013272622438,8.068692509059744,E,Magnesium,"Kashaya,Amla,Katu",Ushna,Katu,Laghu,Aggravates Vata,"Summer,Spring",Laghu,South India,"Bloating,Obesity,Gas,Vata imbalance","Cinnamon + Milk,Ginger + Honey,Cumin + Rice","Weight management,Constipation",1/2 cup cooked
115,Grass-fed Beef,Grass-fed Charma,Meat,255.78687102132196,25.192252585753202,0.23423848586126894,19.09149293397398,1.4392949364238754,"B6,A,K","Iron,Zinc,Magnesium,Phosphorus,Sodium",Amla,Ushna,Amla,Teekshna,Aggravates Vata,All,Laghu,"North India,South India","High cholesterol,Heart disease",Fennel + Mint,"Joint health,Respiratory health",100g
116,Grass-fed Beef,Grass-fed Asthi,Meat,217.28643820065378,25.780798547487244,9.77879449090442,16.636747893159253,1.756961196072738,"E,B3",,"Tikta,Kashaya,Madhura",Ushna,Madhura,Laghu,"Reduces Vata,Reduces Kapha","All,Winter",Laghu,East India,"High cholesterol,Heart disease","Coriander + Coconut,Fennel + Mint,Cardamom + Tea",Energy booster,1 piece
117,Organic Kernels,Organic Phala,Nut,606.177938995006,21.655001848173995,10.200281112213263,51.50646268194962,10.743743880477426,,Phosphorus,"Kashaya,Katu",Shita,Madhura,"Manda,Teekshna","Reduces Vata,Balances Kapha,Aggravates Pitta","Autumn,Spring",Laghu,"Coastal,Himalayan",,"Cinnamon + Milk,Turmeric + Milk","Joint health,Constipation",1/4 cup
118,Wild Apple,Wild Phala,Fruit,33.051707109786456,0.07767854724754952,6.056285950206346,2.777302785112357,2.9323914449873874,"D,C",,Tikta,Shita,Madhura,Ruksha,"Balances Pitta,Aggravates Vata",Summer,Laghu,Coastal,,"Turmeric + Milk,Fennel + Mint","Immunity enhancer,Digestive aid,Joint health",1 medium
119,Wild Blend,Wild Kalka,Spice,338.2057800723525,13.953311116415591,67.64182447738497,7.402964082954678,24.509639688357577,,"Copper,Magnesium,Phosphorus,Iron,Calcium","Lavana,Katu,Kashaya",Shita,Madhura,"Teekshna,Manda","Aggravates Kapha,Balances Vata,Aggravates Vata","Autumn,All",Guru,Himalayan,"Pitta imbalance,Ulcer,Thyroid disorder,Acidity,Heart disease",Black pepper + Turmeric,"Constipation,Liver support",1 tsp
120,Raw Kernels,Raw Bija,Nut,562.213299828882,21.746159147087496,12.25150987638184,53.68417546310125,9.958945498475511,"B3,E,A","Phosphorus,Potassium,Magnesium,Calcium","Katu,Tikta",Ushna,Madhura,"Ruksha,Snigdha","Aggravates Kapha,Aggravates Vata,Reduces Pitta","Winter,Autumn",Laghu,"West India,Pan-India",Pregnancy,"Ginger + Honey,Cardamom + Tea","Cooling agent,Energy booster,Constipation",handful
121,Farm Fresh Cheese,Farm Ksheera,Dairy,41.56751132481786,4.938759219694912,5.113739906697495,3.9673191435220962,0.6183814682673086,"K,B3","Potassium,Selenium,Phosphorus,Magnesium","Kashaya,Madhura,Tikta",Ushna,Amla,"Ruksha,Snigdha","Balances Kapha,Reduces Kapha",Summer,Laghu,Pan-India,"Lactose intolerance,Kapha imbalance","Cloves + Tea,Turmeric + Milk,Fennel + Mint",Skin health,1 cup
122,Organic Milk,Ksheera,Dairy,103.2385874996427,2.553128222284065,10.92160973115174,5.319041477664383,0.059615788326586205,"E,B1,B2,D",,"Katu,Lavana,Kashaya",Shita,Amla,Laghu,"Aggravates Vata,Reduces Vata,Aggravates Pitta","All,Winter",Guru,"East India,South India","Lactose intolerance,Kapha imbalance,Obesity,Underweight","Black pepper + Turmeric,Cumin + Rice,Turmeric + Milk","Energy booster,Anemia",100ml
123,Himalayan Powder,Himalayan Churna,Spice,262.6561537792544,13.798311595404536,55.13065411175373,7.297829525425067,26.044845061303942,"B3,K,B6","Magnesium,Iron,Manganese,Potassium",Kashaya,Ushna,Katu,Teekshna,"Aggravates Vata,Balances Pitta,Reduces Pitta",Summer,Laghu,"North India,South India","Ulcer,Acidity,Pitta imbalance",Ginger + Honey,"Liver support,Skin health",1 tsp
124,Cold-pressed Ghee,Ghrita,Oil,945.7616691959016,0.0,5.6788308654665975,100.83718685591829,1.8023235625918086,B12,"Potassium,Sodium,Calcium,Manganese,Phosphorus","Lavana,Tikta",Shita,Amla,Manda,Reduces Pitta,Monsoon,Laghu,"West India,Coastal","High cholesterol,Kapha imbalance,Obesity",Cumin + Rice,Constipation,1 tsp
125,Cold-pressed Butter,Makkhan,Oil,864.6724554868237,0.828620592475589,1.964897790176213,104.94948246954746,0.5129896535826579,"B3,D,E",Copper,"Tikta,Kashaya",Ushna,Madhura,"Teekshna,Manda","Aggravates Pitta,Balances Pitta","Monsoon,All",Laghu,"Pan-India,South India","High cholesterol,Kapha imbalance,Obesity","Cloves + Tea,Turmeric + Milk,Coriander + Coconut","Joint health,Cooling agent,Anemia",1 tsp
126,Saltwater Salmon,Lavana,Fish,246.34210210650798,23.563859085749037,0.0,15.74678499526561,0.0,"C,B6,D",Zinc,"Lavana,Madhura,Amla",Shita,Amla,"Snigdha,Teekshna","Reduces Pitta,Reduces Kapha,Balances Pitta","Autumn,Winter",Guru,Pan-India,,Turmeric + Milk,Skin health,100g
127,Red Peas,Red Masura,Legume,136.69461624474215,8.930035060540261,19.851436693923752,5.108336429652116,7.834585402338627,B1,"Selenium,Copper","Tikta,Madhura,Kashaya",Ushna,Madhura,"Guru,Snigdha","Reduces Kapha,Aggravates Pitta,Reduces Pitta","All,Winter",Laghu,Pan-India,"Bloating,Gas,Vata imbalance","Cardamom + Tea,Cloves + Tea,Cinnamon + Milk","Anemia,Cooling agent,Skin health",1 bowl
128,Sour Apple,Sour Amritaphala,Fruit,18.122298684793492,2.372583383409669,19.505901889084257,1.8069488842708743,2.1391229180751887,,"Calcium,Sodium,Potassium,Iron",Katu,Shita,Madhura,"Laghu,Snigdha","Balances Kapha,Balances Pitta","Summer,Winter",Guru,"Pan-India,Himalayan",,"Fennel + Mint,Cumin + Rice",Joint health,1 cup sliced
